suspectible,exposed,infected,carrier,dead,recovered,idx
3799985,5,5,5,0,0,1
3799985,5,5,5,0,0,1
3799985,4,6,5,0,0,1
3799985,2,6,7,0,0,1
3799984,3,6,7,0,0,1
3799984,2,6,8,0,0,1
3799983,2,6,9,0,0,1
3799982,1,8,9,0,0,1
3799979,4,8,9,0,0,1
3799977,5,8,10,0,0,1
3799976,6,7,10,0,1,1
3799975,7,6,10,0,2,1
3799975,5,8,10,0,2,1
3799976,2,9,9,0,4,1
3799967,11,9,9,0,4,1
3799964,14,9,7,0,6,1
3799958,18,9,8,0,7,1
3799956,20,8,7,0,9,1
3799956,14,9,11,0,10,1
3799948,20,9,12,0,11,1
3799944,21,10,13,0,12,1
3799938,22,12,16,0,12,1
3799927,28,12,20,0,13,1
3799919,30,13,23,0,15,1
3799909,37,14,24,0,16,1
3799892,45,18,28,0,17,1
3799880,51,21,29,0,19,1
3799871,49,25,31,0,24,1
3799861,52,28,34,0,25,1
3799843,61,33,36,0,27,1
3799826,70,37,39,0,28,1
3799796,88,41,45,0,30,1
3799766,102,46,50,0,36,1
3799740,116,49,54,0,41,1
3799700,135,55,63,0,47,1
3799660,151,67,67,0,55,1
3799606,175,77,81,0,61,1
3799539,207,91,96,0,67,1
3799491,225,103,104,0,77,1
3799419,265,115,116,0,85,1
3799335,306,131,132,0,96,1
3799242,337,154,153,0,114,1
3799143,382,170,176,0,129,1
3799012,437,199,203,0,149,1
3798845,526,234,229,0,166,1
3798651,641,261,257,0,190,1
3798477,715,305,291,2,210,1
3798256,803,352,337,2,250,1
3797960,967,413,376,2,282,1
3797644,1105,481,452,2,316,1
3797318,1212,573,541,2,354,1
3796883,1447,673,594,2,401,1
3796434,1649,788,668,3,458,1
3795935,1844,913,774,3,531,1
3795341,2123,1028,898,3,607,1
3794636,2447,1177,1032,4,704,1
3793758,2876,1363,1197,4,802,1
3792788,3322,1598,1367,5,920,1
3791688,3827,1825,1595,6,1059,1
3790353,4499,2103,1844,6,1195,1
3788878,5152,2472,2103,6,1389,1
3787098,5963,2849,2462,7,1621,1
3785079,6860,3305,2891,9,1856,1
3782699,7990,3807,3344,11,2149,1
3779975,9208,4420,3923,14,2460,1
3776735,10767,5083,4516,16,2883,1
3773026,12397,5960,5284,22,3311,1
3768932,14149,6906,6189,26,3798,1
3764070,16253,8056,7196,31,4394,1
3758417,18793,9258,8391,37,5104,1
3751971,21618,10758,9702,43,5908,1
3744536,24775,12492,11304,47,6846,1
3735901,28400,14620,13173,53,7853,1
3725911,32803,16922,15152,62,9150,1
3714376,37549,19770,17675,67,10563,1
3701170,43080,22920,20510,82,12238,1
3686033,49355,26524,23789,96,14203,1
3668904,56033,30762,27712,111,16478,1
3648834,64492,35534,31900,123,19117,1
3626179,73556,41183,36743,137,22202,1
3600510,83123,47700,42642,164,25861,1
3571470,94463,54897,48906,193,30071,1
3538892,106287,63513,56234,225,34849,1
3502592,119143,72902,64722,260,40381,1
3461912,133419,83380,74241,303,46745,1
3416727,148898,95272,84618,358,54127,1
3367291,164633,108797,96119,404,62756,1
3313490,180615,123499,109378,464,72554,1
3255136,198715,139211,122452,528,83958,1
3192941,215403,156724,137556,614,96762,1
3126634,231495,175677,153851,706,111637,1
3057045,247133,195968,170355,813,128686,1
2984586,261276,217359,188057,912,147810,1
2909363,272494,240518,207089,1027,169509,1
2832207,281523,264453,226944,1174,193699,1
2753750,289461,288739,245803,1328,220919,1
2674493,298580,311394,262982,1510,251041,1
2596463,301316,334982,281035,1695,284509,1
2518808,302276,358138,297838,1918,321022,1
2442901,302429,378732,312568,2175,361195,1
3799985,5,5,5,0,0,2
3799985,5,5,5,0,0,2
3799985,4,5,6,0,0,2
3799985,2,6,7,0,0,2
3799985,2,6,7,0,0,2
3799985,1,6,8,0,0,2
3799984,1,6,9,0,0,2
3799982,3,6,9,0,0,2
3799981,3,7,9,0,0,2
3799981,2,8,9,0,0,2
3799980,3,6,9,0,2,2
3799980,3,5,9,0,3,2
3799979,4,5,9,0,3,2
3799978,3,7,8,0,4,2
3799976,4,7,8,0,5,2
3799976,3,7,9,0,5,2
3799974,5,7,8,0,6,2
3799974,4,4,9,0,9,2
3799974,2,4,10,0,10,2
3799974,1,5,10,0,10,2
3799972,2,5,11,0,10,2
3799971,3,5,10,0,11,2
3799970,4,4,10,0,12,2
3799968,5,5,9,0,13,2
3799968,5,4,7,0,16,2
3799968,3,3,9,0,17,2
3799968,3,3,9,0,17,2
3799968,3,3,8,0,18,2
3799969,1,5,7,0,18,2
3799968,2,5,7,0,18,2
3799968,2,5,7,0,18,2
3799968,2,4,7,0,19,2
3799968,0,3,8,0,21,2
3799967,1,3,8,0,21,2
3799967,1,3,8,0,21,2
3799967,1,3,7,0,22,2
3799967,0,3,8,0,22,2
3799967,0,3,8,0,22,2
3799967,0,2,8,0,23,2
3799967,0,2,8,0,23,2
3799963,4,1,8,0,24,2
3799962,5,1,8,0,24,2
3799961,5,2,7,0,25,2
3799960,6,2,6,0,26,2
3799960,3,4,7,0,26,2
3799959,4,4,7,0,26,2
3799957,5,5,7,0,26,2
3799956,6,5,7,0,26,2
3799956,5,6,7,0,26,2
3799956,4,7,7,0,26,2
3799955,3,8,8,0,26,2
3799955,3,7,8,0,27,2
3799952,5,6,8,0,29,2
3799950,6,7,7,0,30,2
3799948,8,7,7,0,30,2
3799948,6,9,7,0,30,2
3799945,9,8,6,0,32,2
3799944,8,8,7,0,33,2
3799943,9,8,7,0,33,2
3799942,10,7,7,0,34,2
3799940,9,9,7,0,35,2
3799939,8,8,9,0,36,2
3799939,7,9,9,0,36,2
3799939,3,9,13,0,36,2
3799938,4,9,13,0,36,2
3799935,6,8,14,0,37,2
3799929,12,8,14,0,37,2
3799925,14,9,13,0,39,2
3799918,16,9,16,0,41,2
3799914,17,8,19,0,42,2
3799908,19,10,19,0,44,2
3799897,25,13,20,0,45,2
3799883,36,13,22,0,46,2
3799869,44,17,24,0,46,2
3799848,53,21,27,0,51,2
3799826,66,25,30,0,53,2
3799801,80,33,32,0,54,2
3799780,87,38,37,0,58,2
3799732,117,45,41,1,64,2
3799696,131,51,55,1,66,2
3799638,169,60,62,1,70,2
3799594,187,72,72,1,74,2
3799544,201,83,90,1,81,2
3799471,238,92,113,1,85,2
3799385,269,124,129,1,92,2
3799277,326,140,156,1,100,2
3799140,406,170,171,1,112,2
3799033,436,197,207,1,126,2
3798845,547,225,244,1,138,2
3798633,659,262,295,1,150,2
3798412,761,318,330,1,178,2
3798176,865,378,371,2,208,2
3797835,1055,432,425,2,251,2
3797505,1202,515,482,2,294,2
3797099,1413,601,544,2,341,2
3796630,1629,717,636,2,386,2
3796087,1870,839,741,2,461,2
3795507,2113,985,854,3,538,2
3794835,2426,1150,956,3,630,2
3794056,2753,1335,1127,4,725,2
3799985,5,5,5,0,0,3
3799985,5,5,5,0,0,3
3799985,4,5,6,0,0,3
3799985,2,7,6,0,0,3
3799985,2,7,6,0,0,3
3799985,1,8,6,0,0,3
3799985,0,9,6,0,0,3
3799985,0,9,6,0,0,3
3799985,0,9,6,0,0,3
3799984,1,9,6,0,0,3
3799984,1,8,6,0,1,3
3799984,1,6,5,0,4,3
3799984,1,5,5,0,5,3
3799984,1,5,5,0,5,3
3799984,0,6,5,0,5,3
3799984,0,6,5,0,5,3
3799984,0,6,5,0,5,3
3799984,0,5,5,0,6,3
3799984,0,4,5,0,7,3
3799984,0,3,5,0,8,3
3799984,0,3,5,0,8,3
3799984,0,3,5,0,8,3
3799984,0,3,5,0,8,3
3799984,0,3,5,0,8,3
3799984,0,2,5,0,9,3
3799984,0,2,5,0,9,3
3799984,0,2,5,0,9,3
3799984,0,2,5,0,9,3
3799984,0,2,5,0,9,3
3799984,0,2,5,0,9,3
3799984,0,2,5,0,9,3
3799984,0,2,5,0,9,3
3799984,0,2,5,0,9,3
3799984,0,2,5,0,9,3
3799984,0,2,5,0,9,3
3799984,0,2,5,0,9,3
3799984,0,2,5,0,9,3
3799984,0,2,5,0,9,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799984,0,0,5,0,11,3
3799985,5,5,5,0,0,4
3799985,5,5,5,0,0,4
3799985,4,5,6,0,0,4
3799984,3,6,7,0,0,4
3799983,4,6,7,0,0,4
3799983,2,8,7,0,0,4
3799983,1,9,7,0,0,4
3799983,1,9,7,0,0,4
3799983,1,9,7,0,0,4
3799983,1,9,6,0,1,4
3799981,3,7,6,0,3,4
3799980,4,5,6,0,5,4
3799980,3,6,6,0,5,4
3799980,2,7,5,0,6,4
3799980,1,7,5,0,7,4
3799980,1,7,5,0,7,4
3799980,1,7,5,0,7,4
3799980,0,6,5,0,9,4
3799980,0,4,5,0,11,4
3799980,0,4,5,0,11,4
3799980,0,4,5,0,11,4
3799980,0,4,5,0,11,4
3799980,0,4,5,0,11,4
3799980,0,4,5,0,11,4
3799980,0,3,5,0,12,4
3799980,0,2,5,0,13,4
3799980,0,2,5,0,13,4
3799980,0,2,5,0,13,4
3799980,0,0,5,0,15,4
