suspectible,exposed,infected,carrier,dead,recovered,idx
3799985,5,5,5,0,0,1
3799985,5,5,5,0,0,1
3799985,4,5,6,0,0,1
3799985,2,5,8,0,0,1
3799985,2,5,8,0,0,1
3799985,1,6,8,0,0,1
3799985,0,7,8,0,0,1
3799985,0,7,8,0,0,1
3799984,1,7,8,0,0,1
3799984,1,7,8,0,0,1
3799983,2,6,8,0,1,1
3799982,2,5,9,0,2,1
3799980,3,4,10,0,3,1
3799974,8,4,11,0,3,1
3799968,13,5,11,0,3,1
3799963,18,5,8,0,6,1
3799959,20,5,10,0,6,1
3799949,26,6,12,0,7,1
3799945,23,8,15,0,9,1
3799937,29,9,15,0,10,1
3799932,29,11,17,0,11,1
3799924,29,16,19,0,12,1
3799917,34,17,20,0,12,1
3799906,38,22,21,0,13,1
3799892,39,28,25,0,16,1
3799880,47,31,26,0,16,1
3799856,60,30,34,0,20,1
3799835,71,34,38,0,22,1
3799798,90,44,43,0,25,1
3799764,114,48,45,0,29,1
3799733,120,59,57,0,31,1
3799698,132,73,60,0,37,1
3799656,152,80,69,0,43,1
3799618,159,93,78,0,52,1
3799573,183,97,82,1,64,1
3799523,194,117,93,1,72,1
3799465,216,128,107,1,83,1
3799384,257,141,121,1,96,1
3799303,281,162,141,2,111,1
3799212,326,185,154,2,121,1
3799135,339,212,178,2,134,1
3799037,373,237,192,2,159,1
3798935,409,267,214,2,173,1
3798822,455,298,230,3,192,1
3798686,507,317,260,3,227,1
3798533,564,348,293,3,259,1
3798382,608,393,316,3,298,1
3798208,661,443,349,3,336,1
3797992,760,486,381,3,378,1
3797787,814,531,449,3,416,1
3797504,951,586,491,3,465,1
3797199,1095,639,535,3,529,1
3796941,1128,730,605,3,593,1
3796602,1274,782,659,4,679,1
3796217,1419,857,738,6,763,1
3795785,1577,956,823,7,852,1
3795338,1736,1080,897,8,941,1
3794856,1888,1192,1011,9,1044,1
3794316,2066,1324,1138,9,1147,1
3793679,2269,1467,1307,10,1268,1
3792927,2629,1607,1401,11,1425,1
3792127,2936,1769,1552,11,1605,1
3791230,3284,1968,1708,13,1797,1
3790238,3690,2173,1886,15,1998,1
3789179,4056,2411,2115,15,2224,1
3787938,4537,2674,2359,17,2475,1
3786564,5073,2980,2617,19,2747,1
3785093,5530,3377,2913,21,3066,1
3783433,6158,3757,3199,24,3429,1
3781676,6768,4174,3554,25,3803,1
3779746,7377,4599,4005,27,4246,1
3777608,8128,5130,4446,29,4659,1
3775156,9023,5683,4946,33,5159,1
3772418,10005,6358,5457,34,5728,1
3769389,11131,7031,6026,36,6387,1
3765980,12439,7788,6683,45,7065,1
3762361,13658,8656,7402,49,7874,1
3758325,14944,9719,8209,52,8751,1
3753818,16506,10794,9134,58,9690,1
3748851,18258,11960,10083,67,10781,1
3743250,20161,13266,11268,77,11978,1
3737072,22195,14750,12558,91,13334,1
3730282,24519,16359,13966,102,14772,1
3722532,27388,18089,15461,110,16420,1
3714114,30270,20044,17120,130,18322,1
3704881,33279,22310,19048,147,20335,1
3694727,36646,24835,21083,162,22547,1
3683149,40398,27617,23542,172,25122,1
3670550,44517,30654,26165,189,27925,1
3656700,49027,34051,29070,211,30941,1
3641480,53751,37786,32386,228,34369,1
3624850,58709,42001,35994,263,38183,1
3606706,64112,46539,39973,293,42377,1
3586888,69842,51657,44231,316,47066,1
3565585,75835,57101,48862,347,52270,1
3542065,82464,63153,53827,391,58100,1
3516842,89365,69454,59362,434,64543,1
3489464,96309,76617,65529,480,71601,1
3459972,103764,84366,71751,516,79631,1
3428862,111278,92301,78540,569,88450,1
3395654,119003,100835,85864,640,98004,1
3360316,127236,109874,93364,710,108500,1
3322703,135505,119613,101390,772,120017,1
3283606,142505,130242,109969,865,132813,1
3242806,149611,141002,118758,968,146855,1
3200248,156649,152338,127492,1075,162198,1
3156521,162710,164154,136693,1161,178761,1
3111107,168812,176055,145808,1282,196936,1
3065119,173450,188193,155168,1427,216643,1
3018753,176834,200401,164442,1585,237985,1
2971537,180233,212438,173198,1757,260837,1
2924490,182211,224138,181520,1920,285721,1
2877126,184102,235391,189123,2095,312163,1
2830137,184518,245920,196827,2292,340306,1
2783378,187228,254402,202171,2465,370356,1
2737932,188951,261958,206594,2669,401896,1
2693313,188822,269266,210200,2898,435501,1
2649920,185193,276856,214744,3137,470150,1
2607783,179768,283909,218787,3393,506360,1
2566857,173908,289877,221805,3644,543909,1
2527305,169597,293492,223045,3941,582620,1
2489171,164835,296301,223310,4217,622166,1
2452857,159503,297823,222957,4526,662334,1
2417891,153154,298838,222082,4859,703176,1
2384774,146033,298810,220016,5138,745229,1
2352937,139569,297538,217032,5444,787480,1
2322806,134284,294420,212592,5759,830139,1
2294419,128128,290690,207472,6070,873221,1
2267479,122443,285870,201634,6375,916199,1
2241928,117545,280065,195263,6692,958507,1
2218242,111729,273766,188824,7010,1000429,1
2196281,105497,266775,181951,7320,1042176,1
2175290,99023,259854,175362,7637,1082834,1
2155894,92773,252119,168568,7946,1122700,1
2137388,87333,244008,161380,8264,1161627,1
2120147,81919,235740,154459,8555,1199180,1
2104203,76792,226611,147614,8831,1235949,1
2089252,72214,217691,140617,9091,1271135,1
2075380,67669,208464,133574,9375,1305538,1
2062375,63495,199425,126748,9651,1338306,1
2050321,59620,190282,119963,9921,1369893,1
2038974,56506,180971,113031,10159,1400359,1
2028677,52956,171948,106210,10403,1429806,1
2019028,49649,163086,99992,10615,1457630,1
2010143,46387,154282,93990,10830,1484368,1
2001924,43433,146032,88236,11038,1509337,1
1994352,40519,137890,82527,11265,1533447,1
1987288,38173,129918,77086,11465,1556070,1
1980929,35560,122387,71835,11647,1577642,1
1974926,33043,115175,67397,11808,1597651,1
3799985,5,5,5,0,0,2
3799985,5,5,5,0,0,2
3799985,4,6,5,0,0,2
3799985,2,7,6,0,0,2
3799985,2,7,6,0,0,2
3799985,1,8,6,0,0,2
3799985,0,8,7,0,0,2
3799985,0,8,7,0,0,2
3799984,1,8,7,0,0,2
3799984,1,8,7,0,0,2
3799984,1,7,7,0,1,2
3799983,2,6,6,0,3,2
3799983,2,6,6,0,3,2
3799983,1,6,7,0,3,2
3799980,4,6,7,0,3,2
3799979,4,5,8,0,4,2
3799974,9,5,8,0,4,2
3799967,15,5,7,0,6,2
3799966,16,4,7,0,7,2
3799962,18,5,8,0,7,2
3799959,17,6,10,0,8,2
3799955,16,10,10,0,9,2
3799954,12,11,14,0,9,2
3799949,15,11,16,0,9,2
3799944,18,11,17,0,10,2
3799940,16,15,18,0,11,2
3799936,19,16,18,0,11,2
3799933,16,19,19,0,13,2
3799930,18,19,20,0,13,2
3799923,22,18,22,0,15,2
3799916,24,19,24,0,17,2
3799910,29,19,23,0,19,2
3799908,26,21,25,0,20,2
3799902,30,21,21,0,26,2
3799898,23,23,25,0,31,2
3799883,32,23,29,0,33,2
3799874,35,24,29,0,38,2
3799866,38,27,28,0,41,2
3799852,44,31,29,0,44,2
3799830,61,30,33,0,46,2
3799816,64,35,33,0,52,2
3799797,64,43,40,0,56,2
3799783,67,42,47,0,61,2
3799756,81,48,50,0,65,2
3799734,89,49,53,0,75,2
3799708,97,58,57,0,80,2
3799675,110,67,63,0,85,2
3799642,119,77,70,0,92,2
3799608,126,86,78,0,102,2
3799568,148,95,78,0,111,2
3799518,174,102,86,0,120,2
3799475,183,108,103,0,131,2
3799423,199,128,112,0,138,2
3799370,218,141,125,0,146,2
3799297,251,152,139,0,161,2
3799219,286,167,145,0,183,2
3799146,316,187,152,0,199,2
3799069,328,212,177,0,214,2
3798976,372,235,187,0,230,2
3798879,402,257,203,0,259,2
3798758,453,281,225,0,283,2
3798632,484,322,246,0,316,2
3798488,538,356,270,0,348,2
3798326,584,395,311,0,384,2
3798155,643,425,350,0,427,2
3797963,734,460,374,0,469,2
3797742,820,515,406,1,516,2
3797453,971,570,454,1,551,2
3797146,1093,631,522,1,607,2
3796801,1217,724,593,2,663,2
3796433,1354,822,673,2,716,2
3796010,1512,948,746,3,781,2
3795541,1684,1068,829,5,873,2
3795071,1808,1208,929,5,979,2
3794534,2023,1324,1027,5,1087,2
3793952,2214,1479,1143,5,1207,2
3793298,2441,1620,1271,5,1365,2
3792527,2754,1768,1417,5,1529,2
3791705,3033,1954,1587,6,1715,2
3790797,3387,2132,1777,6,1901,2
3789710,3813,2378,1989,8,2102,2
3788522,4327,2628,2172,9,2342,2
3787289,4790,2907,2393,10,2611,2
3785870,5269,3278,2658,14,2911,2
3784279,5841,3618,2994,16,3252,2
3782523,6475,4057,3316,21,3608,2
3780504,7303,4469,3683,24,4017,2
3778313,8088,4996,4124,26,4453,2
3775889,8923,5571,4612,29,4976,2
3773142,9963,6158,5211,34,5492,2
3770050,11183,6832,5818,38,6079,2
3766656,12367,7651,6568,43,6715,2
3762758,13899,8511,7287,47,7498,2
3758502,15434,9498,8120,51,8395,2
3753775,17219,10603,8992,57,9354,2
3748633,18975,11865,10056,65,10406,2
3742983,20647,13407,11352,75,11536,2
3736662,22825,14980,12570,82,12881,2
3729654,25157,16785,13998,90,14316,2
3721917,27697,18730,15669,99,15888,2
3713244,30687,20844,17415,114,17696,2
3703913,33758,23106,19385,129,19709,2
3693216,37438,25730,21560,144,21912,2
3681647,41102,28681,24029,155,24386,2
3668847,45111,31843,26858,180,27161,2
3654774,49301,35488,29989,196,30252,2
3639351,54176,39236,33213,219,33805,2
3622470,59318,43448,36773,241,37750,2
3603980,64886,48075,40719,271,42069,2
3584060,70690,53087,44926,307,46930,2
3562508,76787,58568,49564,347,52226,2
3538817,83101,64698,54826,379,58179,2
3513377,89965,71167,60277,424,64790,2
3485895,97099,78185,66249,464,72108,2
3456510,105223,85330,72137,531,80269,2
3425660,112361,93617,78694,594,89074,2
3392660,119471,102321,86028,650,98870,2
3357542,126798,111648,93616,716,109680,2
3320583,134416,121174,101627,783,121417,2
3282053,141460,131489,109577,866,134555,2
3242145,150446,140827,116785,958,148839,2
3201266,156109,151794,125607,1062,164162,2
3158465,161507,163164,134729,1190,180945,2
3114359,166570,174927,143773,1304,199067,2
3069285,171906,186149,152170,1432,219058,2
3023999,177211,196936,159988,1578,240288,2
2978199,180776,208068,168404,1706,262847,2
2931662,182502,219874,176804,1856,287302,2
2885267,183529,230706,185087,2039,313372,2
2839142,183186,241462,192966,2227,341017,2
2793279,182321,251657,200059,2457,370227,2
2748475,180953,260780,205930,2701,401161,2
2703702,179962,268887,210821,2942,433686,2
2660049,177980,276076,214706,3202,467987,2
2617843,174011,282798,218514,3444,503390,2
2576619,169756,288670,220948,3731,540276,2
2536835,166542,292035,222174,4000,578414,2
2498690,162953,294570,221625,4280,617882,2
2462069,158826,295763,220674,4575,658093,2
2427133,152658,296752,219206,4831,699420,2
2393548,146366,296715,216973,5119,741279,2
2361593,140073,295135,214384,5413,783402,2
2331458,134154,292468,210290,5733,825897,2
2303021,127440,289593,205935,6063,867948,2
